RegionName,City,State,2016/01
10001,New York,NY,1663
10002,New York,NY,1332
10003,New York,NY,1737
10004,New York,NY,1462
10005,New York,NY,1372
10006,New York,NY,1525
10007,New York,NY,1980
10009,New York,NY,1306
10010,New York,NY,1849
10025,New York,NY,1295
10026,New York,NY,959
10029,New York,NY,896
10030,New York,NY,647
10031,New York,NY,782
10036,New York,NY,1626
10038,New York,NY,1274
10280,New York,NY,1154
10301,New York,NY,292
10302,New York,NY,244
10303,New York,NY,214
10304,New York,NY,268
10305,New York,NY,276
10306,New York,NY,302
10307,New York,NY,286
10308,New York,NY,300
10309,New York,NY,252
10310,New York,NY,274
10312,New York,NY,268
10314,New York,NY,272
10456,New York,NY,211
10457,New York,NY,217
10459,New York,NY,174
10461,New York,NY,260
10462,New York,NY,160
10464,New York,NY,339
10465,New York,NY,268
10466,New York,NY,240
10469,New York,NY,232
10473,New York,NY,231
11004,New York,NY,476
11103,New York,NY,595
11105,New York,NY,516
11106,New York,NY,589
11201,New York,NY,1072
11203,New York,NY,277
11204,New York,NY,467
11205,New York,NY,566
11207,New York,NY,302
11208,New York,NY,290
11209,New York,NY,555
11210,New York,NY,412
11212,New York,NY,270
11213,New York,NY,445
11214,New York,NY,463
11215,New York,NY,979
11217,New York,NY,1008
11218,New York,NY,605
11220,New York,NY,594
11221,New York,NY,514
11222,New York,NY,1013
11223,New York,NY,529
11224,New York,NY,374
11225,New York,NY,588
11226,New York,NY,470
11228,New York,NY,535
11229,New York,NY,407
11230,New York,NY,506
11231,New York,NY,1002
11232,New York,NY,633
11233,New York,NY,495
11234,New York,NY,362
11235,New York,NY,491
11236,New York,NY,305
11238,New York,NY,919
11354,New York,NY,497
11355,New York,NY,483
11356,New York,NY,435
11357,New York,NY,522
11358,New York,NY,474
11360,New York,NY,485
11361,New York,NY,510
11362,New York,NY,497
11363,New York,NY,544
11364,New York,NY,510
11365,New York,NY,484
11366,New York,NY,509
11367,New York,NY,405
11368,New York,NY,486
11369,New York,NY,372
11372,New York,NY,400
11373,New York,NY,445
11374,New York,NY,452
11375,New York,NY,539
11377,New York,NY,457
11378,New York,NY,427
11379,New York,NY,443
11385,New York,NY,383
11411,New York,NY,311
11412,New York,NY,273
11413,New York,NY,289
11414,New York,NY,297
11415,New York,NY,390
11416,New York,NY,333
11417,New York,NY,340
11418,New York,NY,331
11419,New York,NY,323
11420,New York,NY,333
11421,New York,NY,322
11422,New York,NY,302
11423,New York,NY,319
11426,New York,NY,383
11427,New York,NY,369
11428,New York,NY,334
11429,New York,NY,294
11432,New York,NY,410
11433,New York,NY,299
11434,New York,NY,304
11435,New York,NY,343
11436,New York,NY,335
11691,New York,NY,262
11692,New York,NY,234
11693,New York,NY,280
11694,New York,NY,364
