"zip_code","long","lat"
10464,-73.7999204,40.8677868
10470,-73.8726596,40.8895273
10455,-73.9085917,40.81471
10473,-73.8584741,40.8186904
11234,-73.9117206,40.6050798
11210,-73.9463244,40.6281475
11215,-73.9867402,40.6626879
11224,-73.9887059,40.5773723
11239,-73.8794772,40.6477354
10030,-73.9428564,40.8182666
10037,-73.937285,40.8129844
10009,-73.978636,40.726408
10028,-73.9534932,40.7764265
10065,-73.9630128,40.764584
10011,-74.000594,40.7420017
10031,-73.9500562,40.8252941
11355,-73.8210311,40.7514754
11423,-73.7684709,40.7156063
11415,-73.8282116,40.707917
11358,-73.7963711,40.760471
11697,-73.9206884,40.555681
11694,-73.8447616,40.5782702
11004,-73.7114694,40.7461981
10457,-73.898678,40.8471495
10463,-73.9065404,40.8806784
10454,-73.9165896,40.8055176
11238,-73.9638044,40.6791707
11206,-73.9423577,40.7019538
11213,-73.9363357,40.6710776
11226,-73.9566488,40.646448
11230,-73.9651053,40.6221639
10075,-73.9562081,40.7733565
10025,-73.9666227,40.7986009
10039,-73.9360686,40.8308558
10005,-74.0087681,40.7059736
10044,-73.949933,40.7620505
11357,-73.8108618,40.7863945
11420,-73.8177332,40.6735844
11691,-73.7616509,40.6012782
11417,-73.8444429,40.676446
11101,-73.9397356,40.7471297
11418,-73.8359709,40.7002721
11366,-73.7850187,40.7281522
11105,-73.9067685,40.7788766
11426,-73.7223762,40.7364585
11411,-73.7362177,40.6940211
10306,-74.1259504,40.5717679
10302,-74.1377756,40.6306882
10312,-74.1809141,40.5453938
11235,-73.9490961,40.5839493
11205,-73.9663011,40.694698
10017,-73.9724169,40.7523468
10027,-73.9532236,40.811819
10032,-73.9428461,40.8388244
10002,-73.986258,40.7157619
10026,-73.9526814,40.8023805
10128,-73.9499423,40.7814298
11422,-73.7360117,40.6600603
11373,-73.8785076,40.7388252
11372,-73.883638,40.7516897
11421,-73.8586257,40.6940617
11360,-73.7812055,40.7802937
11436,-73.7966174,40.6758197
11432,-73.7930712,40.715359
11428,-73.7422446,40.7210162
10301,-74.0944067,40.6274561
10305,-74.0748662,40.5966907
10310,-74.1161481,40.6326485
10468,-73.8999436,40.8689655
10462,-73.8603886,40.8432795
10465,-73.8256019,40.8232769
11370,-73.8932425,40.7653703
11211,-73.9530981,40.7125973
11209,-74.0303233,40.6219821
11220,-74.0168625,40.6412207
10040,-73.9305196,40.8582976
10018,-73.9931272,40.7553294
10022,-73.9678171,40.7585548
10023,-73.9826066,40.7759212
10036,-73.9899094,40.7592804
11434,-73.7764254,40.6768082
11378,-73.9096392,40.7247442
11005,-73.7141781,40.7565778
10303,-74.1741296,40.6298846
10461,-73.8405536,40.8474345
10451,-73.9250841,40.8204787
10471,-73.9033099,40.8988142
11223,-73.9734285,40.5971394
11221,-73.9278789,40.6913401
11203,-73.9343709,40.6495909
11232,-74.0073305,40.6565275
11229,-73.9444926,40.6012928
11222,-73.947605,40.7277898
11212,-73.9130288,40.6629365
11207,-73.8942094,40.6707467
11237,-73.9211389,40.70416
11228,-74.0130467,40.6166949
10013,-74.0049277,40.720107
10029,-73.9438757,40.7916981
10021,-73.9586301,40.7691586
10014,-74.0070331,40.7336977
10006,-74.0129537,40.7096144
10020,-73.978833,40.7582363
10280,-74.0168084,40.7087777
11429,-73.7386654,40.7097703
11362,-73.7378447,40.7565736
11368,-73.8527798,40.7494072
11412,-73.7589862,40.6980953
11414,-73.844804,40.6576043
11413,-73.7525684,40.6716586
11416,-73.8495484,40.6846542
10314,-74.165748,40.5992625
10467,-73.8656955,40.8699533
10458,-73.8881454,40.8625453
10472,-73.8693594,40.8295557
11204,-73.9848262,40.6187792
11216,-73.9493165,40.6807675
11219,-73.9966687,40.6326665
11208,-73.8713713,40.669689
11233,-73.9199358,40.6783083
11217,-73.9780993,40.6823056
11225,-73.9542192,40.6630459
10035,-73.9297309,40.7956523
10016,-73.9782938,40.7452204
10012,-73.9980784,40.7255806
10024,-73.9744135,40.798452
11354,-73.8274033,40.7682082
11419,-73.8229179,40.6886731
11374,-73.8615086,40.7263875
11427,-73.7456759,40.7308873
11377,-73.9051811,40.7447883
11106,-73.9315281,40.7622113
11361,-73.7727748,40.7641909
11365,-73.7944896,40.7396342
11364,-73.7606074,40.7452962
10460,-73.8795691,40.8417639
10456,-73.90812,40.8298806
10452,-73.9234295,40.8373899
10469,-73.8482176,40.8685697
10475,-73.823817,40.875259
11231,-74.0051543,40.6779162
11236,-73.9006642,40.6394133
10004,-74.0182442,40.6886296
10019,-73.9870674,40.765793
10007,-74.0078064,40.7138637
11385,-73.8894333,40.7006713
11433,-73.786893,40.6981616
11356,-73.8412794,40.7848502
11375,-73.8461509,40.7209355
11104,-73.9202137,40.7446166
10304,-74.0928591,40.6079938
10309,-74.2209706,40.5315155
10307,-74.2371373,40.5083206
10466,-73.8462394,40.8909641
10459,-73.8929714,40.8258746
10453,-73.9123318,40.8527788
10474,-73.8844115,40.8106143
11214,-73.9960898,40.5991479
11201,-73.9896934,40.693682
11218,-73.9760425,40.643476
10034,-73.9244152,40.86723
10038,-74.0025324,40.7093204
10033,-73.9338627,40.8505376
10001,-73.9972808,40.750672
10003,-73.9891809,40.7318292
10010,-73.9822316,40.7390449
11379,-73.8796014,40.7167485
11367,-73.8270304,40.7301446
11435,-73.8096047,40.7012645
11692,-73.7928961,40.5940945
11103,-73.9134473,40.7625741
11102,-73.9262952,40.7728839
11693,-73.8097488,40.5906918
11369,-73.8724429,40.7633359
11363,-73.7465255,40.7726163
11359,-73.7768669,40.7917856
10308,-74.1476456,40.551884
